period,subba,subba-name,parent,parent-name,value,value-units
2024-08-22T16,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,646,megawatthours
2024-08-22T16,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1185,megawatthours
2024-08-22T16,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,824,megawatthours
2024-08-22T16,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,270,megawatthours
2024-08-22T16,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,626,megawatthours
2024-08-22T16,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6013,megawatthours
2024-08-22T16,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2171,megawatthours
2024-08-22T15,ZONA,West - NYIS,NYIS,New York Independent System Operator,1659,megawatthours
2024-08-22T15,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,899,megawatthours
2024-08-22T15,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1301,megawatthours
2024-08-22T15,ZOND,North - NYIS,NYIS,New York Independent System Operator,619,megawatthours
2024-08-22T15,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,694,megawatthours
2024-08-22T15,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1063,megawatthours
2024-08-22T15,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,767,megawatthours
2024-08-22T15,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,267,megawatthours
2024-08-22T15,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,613,megawatthours
2024-08-22T15,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5856,megawatthours
2024-08-22T15,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2100,megawatthours
2024-08-22T14,ZONA,West - NYIS,NYIS,New York Independent System Operator,1663,megawatthours
2024-08-22T14,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,903,megawatthours
2024-08-22T14,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1357,megawatthours
2024-08-22T14,ZOND,North - NYIS,NYIS,New York Independent System Operator,629,megawatthours
2024-08-22T14,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,720,megawatthours
2024-08-22T14,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1093,megawatthours
2024-08-22T14,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,789,megawatthours
2024-08-22T14,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,266,megawatthours
2024-08-22T14,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,602,megawatthours
2024-08-22T14,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5705,megawatthours
2024-08-22T14,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2069,megawatthours
2024-08-22T13,ZONA,West - NYIS,NYIS,New York Independent System Operator,1670,megawatthours
2024-08-22T13,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,936,megawatthours
2024-08-22T13,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1440,megawatthours
2024-08-22T13,ZOND,North - NYIS,NYIS,New York Independent System Operator,612,megawatthours
2024-08-22T13,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,759,megawatthours
2024-08-22T13,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1171,megawatthours
2024-08-22T13,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,848,megawatthours
2024-08-22T13,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,259,megawatthours
2024-08-22T13,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,581,megawatthours
2024-08-22T13,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5481,megawatthours
2024-08-22T13,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2050,megawatthours
2024-08-22T12,ZONA,West - NYIS,NYIS,New York Independent System Operator,1663,megawatthours
2024-08-22T12,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,981,megawatthours
2024-08-22T12,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1492,megawatthours
2024-08-22T12,ZOND,North - NYIS,NYIS,New York Independent System Operator,629,megawatthours
2024-08-22T12,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,761,megawatthours
2024-08-22T12,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1195,megawatthours
2024-08-22T12,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,878,megawatthours
2024-08-22T12,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,240,megawatthours
2024-08-22T12,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,558,megawatthours
2024-08-22T12,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5172,megawatthours
2024-08-22T12,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1978,megawatthours
2024-08-22T11,ZONA,West - NYIS,NYIS,New York Independent System Operator,1608,megawatthours
2024-08-22T11,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,951,megawatthours
2024-08-22T11,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1453,megawatthours
2024-08-22T11,ZOND,North - NYIS,NYIS,New York Independent System Operator,612,megawatthours
2024-08-22T11,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,740,megawatthours
2024-08-22T11,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1160,megawatthours
2024-08-22T11,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,849,megawatthours
2024-08-22T11,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,214,megawatthours
2024-08-22T11,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,517,megawatthours
2024-08-22T11,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4771,megawatthours
2024-08-22T11,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1884,megawatthours
2024-08-22T10,ZONA,West - NYIS,NYIS,New York Independent System Operator,1538,megawatthours
2024-08-22T10,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,905,megawatthours
2024-08-22T10,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1357,megawatthours
2024-08-22T10,ZOND,North - NYIS,NYIS,New York Independent System Operator,591,megawatthours
2024-08-22T10,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,681,megawatthours
2024-08-22T10,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1122,megawatthours
2024-08-22T10,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,804,megawatthours
2024-08-22T10,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,199,megawatthours
2024-08-22T10,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,485,megawatthours
2024-08-22T10,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4415,megawatthours
2024-08-22T10,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1799,megawatthours
2024-08-22T09,ZONA,West - NYIS,NYIS,New York Independent System Operator,1491,megawatthours
2024-08-22T09,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,868,megawatthours
2024-08-22T09,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1304,megawatthours
2024-08-22T09,ZOND,North - NYIS,NYIS,New York Independent System Operator,575,megawatthours
2024-08-22T09,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,644,megawatthours
2024-08-22T09,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1091,megawatthours
2024-08-22T09,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,777,megawatthours
2024-08-22T09,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,191,megawatthours
2024-08-22T09,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,465,megawatthours
2024-08-22T09,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4246,megawatthours
2024-08-22T09,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1729,megawatthours
2024-08-22T08,ZONA,West - NYIS,NYIS,New York Independent System Operator,1492,megawatthours
2024-08-22T08,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,863,megawatthours
2024-08-22T08,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1305,megawatthours
2024-08-22T08,ZOND,North - NYIS,NYIS,New York Independent System Operator,587,megawatthours
2024-08-22T08,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,624,megawatthours
2024-08-22T08,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1072,megawatthours
2024-08-22T08,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,772,megawatthours
2024-08-22T08,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,192,megawatthours
2024-08-22T08,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,465,megawatthours
2024-08-22T08,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4243,megawatthours
2024-08-22T08,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1724,megawatthours
2024-08-22T07,ZONA,West - NYIS,NYIS,New York Independent System Operator,1503,megawatthours
2024-08-22T07,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,870,megawatthours
2024-08-22T07,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1312,megawatthours
2024-08-22T07,ZOND,North - NYIS,NYIS,New York Independent System Operator,592,megawatthours
2024-08-22T07,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,622,megawatthours
2024-08-22T07,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1069,megawatthours
2024-08-22T07,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,788,megawatthours
2024-08-22T07,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,196,megawatthours
2024-08-22T07,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,478,megawatthours
2024-08-22T07,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4324,megawatthours
2024-08-22T07,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1767,megawatthours
2024-08-22T06,ZONA,West - NYIS,NYIS,New York Independent System Operator,1530,megawatthours
2024-08-22T06,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,891,megawatthours
2024-08-22T06,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1345,megawatthours
2024-08-22T06,ZOND,North - NYIS,NYIS,New York Independent System Operator,590,megawatthours
2024-08-22T06,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,638,megawatthours
2024-08-22T06,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1074,megawatthours
2024-08-22T06,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,814,megawatthours
2024-08-22T06,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,210,megawatthours
2024-08-22T06,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,499,megawatthours
2024-08-22T06,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4457,megawatthours
2024-08-22T06,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1845,megawatthours
2024-08-22T05,ZONA,West - NYIS,NYIS,New York Independent System Operator,1575,megawatthours
2024-08-22T05,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,922,megawatthours
2024-08-22T05,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1391,megawatthours
2024-08-22T05,ZOND,North - NYIS,NYIS,New York Independent System Operator,574,megawatthours
2024-08-22T05,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,668,megawatthours
2024-08-22T05,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1093,megawatthours
2024-08-22T05,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,852,megawatthours
2024-08-22T05,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,229,megawatthours
2024-08-22T05,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,529,megawatthours
2024-08-22T05,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4660,megawatthours
2024-08-22T05,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1965,megawatthours
2024-08-22T04,ZONA,West - NYIS,NYIS,New York Independent System Operator,1628,megawatthours
2024-08-22T04,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,958,megawatthours
2024-08-22T04,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1441,megawatthours
2024-08-22T04,ZOND,North - NYIS,NYIS,New York Independent System Operator,594,megawatthours
2024-08-22T04,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,701,megawatthours
2024-08-22T04,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1121,megawatthours
2024-08-22T04,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,907,megawatthours
2024-08-22T04,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,236,megawatthours
2024-08-22T04,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,557,megawatthours
2024-08-22T04,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4943,megawatthours
2024-08-22T04,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2120,megawatthours
2024-08-22T03,ZONA,West - NYIS,NYIS,New York Independent System Operator,1709,megawatthours
2024-08-22T03,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1020,megawatthours
2024-08-22T03,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1543,megawatthours
2024-08-22T03,ZOND,North - NYIS,NYIS,New York Independent System Operator,613,megawatthours
2024-08-22T03,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,765,megawatthours
2024-08-22T03,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1210,megawatthours
2024-08-22T03,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,983,megawatthours
2024-08-22T03,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,266,megawatthours
2024-08-22T03,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,604,megawatthours
2024-08-22T03,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5247,megawatthours
2024-08-22T03,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2318,megawatthours
2024-08-22T02,ZONA,West - NYIS,NYIS,New York Independent System Operator,1789,megawatthours
2024-08-22T02,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1091,megawatthours
2024-08-22T02,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1642,megawatthours
2024-08-22T02,ZOND,North - NYIS,NYIS,New York Independent System Operator,633,megawatthours
2024-08-22T02,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,826,megawatthours
2024-08-22T02,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1300,megawatthours
2024-08-22T02,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1061,megawatthours
2024-08-22T02,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,289,megawatthours
2024-08-22T02,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,640,megawatthours
2024-08-22T02,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5511,megawatthours
2024-08-22T02,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2505,megawatthours
2024-08-22T01,ZONA,West - NYIS,NYIS,New York Independent System Operator,1811,megawatthours
2024-08-22T01,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1137,megawatthours
2024-08-22T01,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1697,megawatthours
2024-08-22T01,ZOND,North - NYIS,NYIS,New York Independent System Operator,648,megawatthours
2024-08-22T01,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,866,megawatthours
2024-08-22T01,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1361,megawatthours
2024-08-22T01,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1117,megawatthours
2024-08-22T01,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,307,megawatthours
2024-08-22T01,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,670,megawatthours
2024-08-22T01,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5720,megawatthours
2024-08-22T01,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2662,megawatthours
2024-08-22T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1808,megawatthours
2024-08-22T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1125,megawatthours
2024-08-22T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1668,megawatthours
2024-08-22T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,648,megawatthours
2024-08-22T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,855,megawatthours
2024-08-22T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1363,megawatthours
2024-08-22T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1121,megawatthours
2024-08-22T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,316,megawatthours
2024-08-22T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,674,megawatthours
2024-08-22T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5847,megawatthours
2024-08-22T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2739,megawatthours
